term,event_label,event_slug,event_kind,paper_role,rationale,event_month_requested,event_month_effective,pre_months,shock_months,post_months,pre_length,post_length,eligible_month_pool_size
22,2006 market turbulence,2006_market_turbulence,economic,support,"Mayıs 2006 finansal türbülansı, veri içinde açık biçimde görülen ilk makro-finansal kırılma olduğu için cumhurbaşkanlığı krizinden önce erken bir ekonomik karşılaştırma noktası sağlıyor.",2006-05,2006-05,"2006-02,2006-03,2006-04",2006-05,"2006-06,2006-07,2006-08",3,3,27
22,E-memorandum,e_memorandum,control,control,E-muhtıra ekonomik olmayan anayasal bir şoktur; bu yüzden ekonomiden anayasa/güvenlik eksenine kaymayı test eden güçlü bir kontrol vakası olarak kullanılıyor.,2007-04,2007-04,"2007-01,2007-02,2007-03",2007-04,"2007-05,2007-06,2007-07",3,3,27
23,Global crisis reaction,global_crisis_reaction,economic,core,"2008 küresel kriz tepkisi, erken çok partili dönemin en temiz makroekonomik şokudur ve gündem sahipliğinin yeniden kurulmasını test etmek için çekirdek vakadır.",2008-10,2008-10,"2008-07,2008-08,2008-09",2008-10,"2008-11,2008-12,2009-01",3,3,12
23,Referendum aftermath,referendum_aftermath,control,support,"Referandum sonrası dönem, aynı term içinde ekonomi-merkezli ve anayasa-merkezli gündem merkezileşmesini karşılaştırmaya yardım ediyor.",2010-10,2010-10,"2010-07,2010-08,2010-09",2010-10,"2010-11,2010-12,2011-01",3,3,12
24,17-25 December rupture,17_25_december_rupture,mixed,support,"Bu kırılma yolsuzluk, kurumsal gerilim ve ekonomik dili aynı anda taşıdığı için saf ekonomi vakası değil; karma şok kıyas noktası olarak değerli.",2013-12,2013-12,"2013-09,2013-10,2013-11",2013-12,"2014-01,2014-02,2014-03",3,3,22
25,Pre-November election macro reset,pre_november_election_macro_reset,economic,support,"Kısa interregnum terminde zaman varyasyonu az olduğu için Kasım seçimi öncesindeki makro yeniden ayar, uygulanabilir tek ekonomik olay penceresidir.",2015-10,2015-10,"2015-07,2015-08,2015-09",2015-10,"2015-11,2015-12,2016-01",3,3,0
26,15 July / OHAL shock,15_july___ohal_shock,control,control,15 Temmuz/OHAL hattı güvenlik-anayasa eksenli bir mega şoktur; bu yüzden ekonomi dışı yer değiştirme testleri için güçlü bir kontrol vakasıdır.,2016-07,2016-07,"2016-04,2016-05,2016-06",2016-07,"2016-08,2016-09,2016-10",3,3,10
27,Albayrak resignation,albayrak_resignation,economic_governance,core,Albayrak istifası ekonomik yönetişimde görünür bir kırılma yarattığı için hem agenda ownership hem de broker turnover testleri açısından merkezi bir vakadır.,2020-11,2020-11,"2020-08,2020-09,2020-10",2020-11,"2020-12,2021-01,2021-02",3,3,11
27,FX crisis,fx_crisis,economic,core,Kur krizi geç dönemin en güçlü makroekonomik şokudur ve ekonomik çatışma geometrisinin ana stres testini oluşturur.,2022-01,2022-01,"2021-10,2021-11,2021-12",2022-01,"2022-02,2022-03,2022-04",3,3,11
28,Simsek return,simsek_return,economic_governance,core,"Şimşek dönüşü, term başlangıcına yakın olsa da teknokratik ekonomik dilin geri dönüşünü simgelediği için çekirdek bir ekonomik yönetişim olayıdır.",2023-06,2023-06,"2023-03,2023-04,2023-05",2023-06,"2023-07,2023-08,2023-09",3,3,10
28,Local election shock,local_election_shock,mixed,support,Yerel seçim şoku ekonomik hesap verme baskısını rejim rekabetiyle birleştirdiği için karşılaştırmalı olarak yararlı bir karma şok vakasıdır.,2024-03,2024-03,"2023-12,2024-01,2024-02",2024-03,"2024-04,2024-05,2024-06",3,3,10
