candidate_id,manual_label,manual_notes,transcript_id,date,year,speaker,source_party,target_party,heuristic_positive_hits,heuristic_negative_hits,heuristic_score,heuristic_label,window_text
cand_13266,negative,,8142,2002-12-01,2002,Mehmet Yıldırım,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,0,0.0,mixed,eremiyoruz. hukumete soruyoruz ithalati durdurmayi dusunuyor musunuz ciftcinin elinde 10 000 tona yakin sarmisak varken akp genel baskani sayin recep tayyip erdogan in kastamonu da nasrullah meydaninda halkimiza verdigi soze sarmisak ithalatin
cand_13271,negative,,8142,2002-12-01,2002,Önder Sav,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,0,0.0,mixed,apsi ayri ayri saymis ve agir hapis cezasinin bir seneden yirmidort seneye kadar oldugunu soylemis. biraz evvel konusan adalet ve kalkinma partisi sozcusunun dedigi gibi bir gunluk agir hapis olmaz arkadaslar. burada konusurken duzgun konusalim ifademizi duzgun anla
cand_13276,positive,,8162,2002-12-01,2002,Ahmet Küçük,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,0,0.0,mixed,yoruz. ak parti sozcusu bolge milletvekili sayin kosdere bu konuda gorusunu ifade etmedi ama ben kendisinin gonlunun ve ak parti grubu gorusunun bu yonde olduguna inaniyorum. sonucta burada arastirma komisyonu kurulmasi seklinde bir karar cikmasi v
cand_13277,negative,,8163,2002-12-01,2002,Akif Hamzaçebi,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,0,0.0,mixed,a genellikle uretim baslamadan ilan edilmis olur yani agustos ayi gecmeden ilan edilmis olur ancak bu yil findik fiyati hukumet tarafindan bir hayli gec aciklandi ve bu gec aciklama nedeniyle piyasalarda bir belirsizlik olustu uretici ne yapacagin
cand_13317,negative,,8204,2002-12-01,2002,Akif Hamzaçebi,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,0,0.0,mixed,simulasyon dediginiz yarim gunluk istir. acil eylem plani vardi. acil eylem planindan sonra hukumet programi aciklandi. hukumet programindan sonra acil eylem plani detaylandirilmaya baslandi bugun de bir dorduncusunu ogreniyoruz simulasyon calisma
cand_13327,mixed,,8204,2002-12-01,2002,Mustafa Özyürek,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,0,0.0,mixed,erilen beyannamelerde uygulanmis ve ondan sonra kalkmistir. ondan sonra kalktigi icindir ki plan ve butce komisyonundan iktidar partisinin onerisiyle buraya gelmistir. sayin canikli dedi ki gecici butce hazirliklarinda dikkate alinmis. maliye baka
cand_13341,positive,,8225,2002-12-01,2002,Muharrem Doğan,Anavatan Partisi,Cumhuriyet Halk Partisi,0,1,-0.5,negative,emleri hukumetin bilgisine sunmak uzere sahsim adina gundemdisi soz almis bulunuyorum. bugun ikinci cumhurbaskanimiz ve chp nin ikinci genel baskani -rahmetli- inonu yu olumunun 29 uncu yilinda saygiyla aniyorum. abd nin irak a mudahalesinin t
cand_13342,negative,,8225,2002-12-01,2002,Muharrem Doğan,Anavatan Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,ilmasini fiziki acidan engel mani bir durum varsa nusaybin gumruk kapisinin uluslararasi hale getirilmesini oneriyorum. akp lideri sayin erdogan in cizre de 4 kasim 2002 tarihi icin bu konuda verdigi sozu hatirlatmak istiyorum. ciftcimiz yesil
cand_13347,mixed,,8245,2002-12-01,2002,Hasan Ören,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,da calisanlarin bugunku durumlari parlamentonun onune pek sik getirilmedi. musa uzunkaya arkadasimiza tesekkur ediyorum iktidar partisinin mensubu olarak gercekten tarimdaki sikintilari muhalefet partisinin milletvekili gibi gundeme getirdi. hakik
cand_13363,negative,,8245,2002-12-01,2002,Gürol Ergin,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,mler kullandilar. iste o soylemler bugun karsimiza bu kursuden cikiyor. degerli arkadaslarim burada benden once konusan iktidar partisi milletvekillerinin tumunun dogrudan gelir desteginin ne oldugunu henuz anlamadigini gormekten uzuntu duyuyorum.
cand_13374,negative,,8245,2002-12-01,2002,Ömer Abuşoğlu,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,0,1,-0.5,negative,eymis ve bu politikalardan ibaretmis gibi tenkit etmek kolaydir fakat hukumet olunca gecici butce hazirlamak noktasinda chp nin bir sansi olsaydi yine chp de ayni sekilde bir butceyle karsimiza gelecekti. o bakimdan chp grubundan ortaya cikan 
