candidate_id,manual_label,manual_notes,window_text,source_party,target_party,date,year,speaker,heuristic_positive_hits,heuristic_negative_hits,heuristic_score,heuristic_label,heuristic_label_binary,ann_kisi1,ann_kisi2,ann_kisi3,ann_kisi4,ann_kisi5,final_label,is_human_verified
cand_13266,negative,,eremiyoruz. hukumete soruyoruz ithalati durdurmayi dusunuyor musunuz ciftcinin elinde 10 000 tona yakin sarmisak varken akp genel baskani sayin recep tayyip erdogan in kastamonu da nasrullah meydaninda halkimiza verdigi soze sarmisak ithalatin,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2002-12-01,2002,Mehmet Yıldırım,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_13271,negative,,apsi ayri ayri saymis ve agir hapis cezasinin bir seneden yirmidort seneye kadar oldugunu soylemis. biraz evvel konusan adalet ve kalkinma partisi sozcusunun dedigi gibi bir gunluk agir hapis olmaz arkadaslar. burada konusurken duzgun konusalim ifademizi duzgun anla,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2002-12-01,2002,Önder Sav,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_13276,positive,,yoruz. ak parti sozcusu bolge milletvekili sayin kosdere bu konuda gorusunu ifade etmedi ama ben kendisinin gonlunun ve ak parti grubu gorusunun bu yonde olduguna inaniyorum. sonucta burada arastirma komisyonu kurulmasi seklinde bir karar cikmasi v,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2002-12-01,2002,Ahmet Küçük,0,0,0.0,mixed,negative,positive,,,,,positive,True
cand_13277,negative,,a genellikle uretim baslamadan ilan edilmis olur yani agustos ayi gecmeden ilan edilmis olur ancak bu yil findik fiyati hukumet tarafindan bir hayli gec aciklandi ve bu gec aciklama nedeniyle piyasalarda bir belirsizlik olustu uretici ne yapacagin,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2002-12-01,2002,Akif Hamzaçebi,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_13317,negative,,simulasyon dediginiz yarim gunluk istir. acil eylem plani vardi. acil eylem planindan sonra hukumet programi aciklandi. hukumet programindan sonra acil eylem plani detaylandirilmaya baslandi bugun de bir dorduncusunu ogreniyoruz simulasyon calisma,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2002-12-01,2002,Akif Hamzaçebi,0,0,0.0,mixed,negative,negative,,,,,negative,True
cand_13327,mixed,,erilen beyannamelerde uygulanmis ve ondan sonra kalkmistir. ondan sonra kalktigi icindir ki plan ve butce komisyonundan iktidar partisinin onerisiyle buraya gelmistir. sayin canikli dedi ki gecici butce hazirliklarinda dikkate alinmis. maliye baka,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2002-12-01,2002,Mustafa Özyürek,0,0,0.0,mixed,negative,mixed,,,,,mixed,True
cand_13341,positive,,emleri hukumetin bilgisine sunmak uzere sahsim adina gundemdisi soz almis bulunuyorum. bugun ikinci cumhurbaskanimiz ve chp nin ikinci genel baskani -rahmetli- inonu yu olumunun 29 uncu yilinda saygiyla aniyorum. abd nin irak a mudahalesinin t,Anavatan Partisi,Cumhuriyet Halk Partisi,2002-12-01,2002,Muharrem Doğan,0,1,-0.5,negative,negative,positive,,,,,positive,True
cand_13342,negative,,ilmasini fiziki acidan engel mani bir durum varsa nusaybin gumruk kapisinin uluslararasi hale getirilmesini oneriyorum. akp lideri sayin erdogan in cizre de 4 kasim 2002 tarihi icin bu konuda verdigi sozu hatirlatmak istiyorum. ciftcimiz yesil,Anavatan Partisi,Adalet ve Kalkınma Partisi,2002-12-01,2002,Muharrem Doğan,0,1,-0.5,negative,negative,negative,,,,,negative,True
cand_13347,mixed,,da calisanlarin bugunku durumlari parlamentonun onune pek sik getirilmedi. musa uzunkaya arkadasimiza tesekkur ediyorum iktidar partisinin mensubu olarak gercekten tarimdaki sikintilari muhalefet partisinin milletvekili gibi gundeme getirdi. hakik,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2002-12-01,2002,Hasan Ören,0,1,-0.5,negative,negative,mixed,,,,,mixed,True
cand_13363,negative,,mler kullandilar. iste o soylemler bugun karsimiza bu kursuden cikiyor. degerli arkadaslarim burada benden once konusan iktidar partisi milletvekillerinin tumunun dogrudan gelir desteginin ne oldugunu henuz anlamadigini gormekten uzuntu duyuyorum.,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,2002-12-01,2002,Gürol Ergin,0,1,-0.5,negative,negative,negative,,,,,negative,True
