candidate_id,manual_label,manual_notes,transcript_id,date,year,speaker,source_party,target_party,heuristic_positive_hits,heuristic_negative_hits,heuristic_score,heuristic_label,window_text
cand_02694,,,12845,2004-11-04,2004,Muharrem Doğan,Anavatan Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,r- bu onemli projeye mutlaka tekrar bir sure istenecektir ama madem baslamisken... sonra akp hukumeti icraati seven bir hukumet eline boyle bir firsat gelmisken... bazi hukumetler biz gap i evlendirdik siz bosadiniz diyecekler o zaman ne cevap ver
cand_13308,,,8204,2002-12-01,2002,Mustafa Özyürek,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,dik. degerli arkadaslarim bir onemli uzuntumu de izninizle sizlerle paylasmak istiyorum. simdi hukumetimiz sayin baskan recep tayyip erdogan 22 gun 25 gun oldu biz goreve baslayali demis. simdi tasari geldi yukarida plan ve butce komisyonunda arkadaslarimizla 
cand_10246,,,17665,2006-11-02,2006,Orhan Eraslan,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,ska bir sey. ama bu paralel hakki almayi bilmek hukumetlerin isidir yakinmak degildir. iste hukumet odur ki adi ustunde hukumet odur ki verdigi haklari uluslararasi tescil edilmis anlasmayla mutekabil devletin karsi tarafa zorlattirir. burada yani
cand_06420,,,15606,2005-12-17,2005,Hüseyin Özcan,Anavatan Partisi,Adalet ve Kalkınma Partisi,0,2,-0.6667,negative,vam ettigi muddetce sosyal yardimlasma kurumuna daha cok is dusmektedir. yoksulluk toplumumuzu icten ice curutmektedir. hukumet bu sorunlara bir an once tedbir bulmak icin calismalidir yurtdisi gezilerini de biraz askiya alinmalidir. degerli arkad
cand_14442,,,9145,2003-04-01,2003,Mustafa Özyurt,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative, arkadasimin soyledigi cok dogru elinize gecmis olan cok guzel bir firsat var. turkiye 1950 den bu yana boyle guclu bir iktidar ve guclu bir muhalefetle ilk kez karsilasiyor bu firsati iyi degerlendirin.
cand_13372,,,8245,2002-12-01,2002,Muhsin Koçyiğit,Anavatan Partisi,Cumhuriyet Halk Partisi,2,0,0.6667,positive,in mali haklarinda azalma meydana gelmesini onlemeye yonelik tedbirler alinmistir. bunu olumlu buluyoruz bu duzenlemeyi cumhuriyet halk partisi olarak destekliyoruz. sayin baskan degerli milletvekilleri hukumet kamuoyuna yaptigi aciklamada memur maaslarini yuzde 
cand_07758,,,16185,2006-02-23,2006,Ümmet Kandoğan,Doğru Yol Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,hayir demez olur mu simdi sayin milletvekilim. yani simdi bunu o zaman gelin iktidar partisi olarak deyin ki biz iktidar partisiyiz her ne kadar merkez bankasi da bagimsizdir ama bu azami akdi faiz oranlariyla ilgili sunun uzerine cikmayaca
cand_10665,,,17796,2006-12-12,2006,Hüseyin Güler,Anavatan Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,lmak uzere kendilerinin insanca yasayabilecegi kosullarin onerilmesi... ama goruyorum ki gerek sayin bakanin ve gerekse iktidar milletvekillerinin savunmasina baktigimda rakamlar yuvarlak olarak her sey ak partinin istedigi gibi biz soyle verdik b
cand_11471,,,19844,2007-02-13,2007,Ümmet Kandoğan,Doğru Yol Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,aya koyabildigi ve bu gorusun diger ulkeler tarafindan degerlendirilmesi soz konusu mudur iste irak meselesi. irak a bu hukumet durbunle bakiyor durbunle. hem de durbunun tersiyle bakiyor. butun olup bitenler karsisinda ulkemizde bu hukumetin akti
cand_07821,,,16245,2006-03-02,2006,Avni Doğan,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,1,0,0.5,positive,ndayiz. 21 inci yuzyil -sunu acik soyleyeyim- ideolojilerin yuzyili degildir demokratiklesmenin yuzyilidir. simdi bakin cumhuriyet halk partisi cok onemli bir partidir cumhuriyetin ilk partisidir ataturk un partisidir. ataturkculugu yeniden dusunme ihtiyaci yenid
cand_00672,,,10725,2003-12-16,2003,Hüseyin Özcan,Anavatan Partisi,Adalet ve Kalkınma Partisi,2,1,0.25,positive,ecinin eline dusmektedir. sayin milletvekilleri ureticilerimizin sayilamayan derecede cok olan sorunlarinin cozumu icin hukumet gerekli adimlari atmamaktadir. mersin de sulu tarim yapilan arazi miktari ancak yuzde 33 kadardir. sulamayi saglayacak 
cand_10391,,,17720,2006-11-14,2006,Dursun Akdemir,Anavatan Partisi,Adalet ve Kalkınma Partisi,1,2,-0.25,negative,sini karsilamaya yeterli olmadigindan biz bu sayiyi artirmak durumundayiz. ama maalesef uzulerek belirtmek istiyorum ki ak parti hukumeti bu konuda gerekli onlemleri ya bilincli olarak almadi ya alma becerisini gosteremedi ya da yetersizliginin far
cand_06778,,,15705,2005-12-25,2005,Kazım Türkmen,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,astirma onergesiyle bir seyi arastiralim. tum iller dahil tum ihaleleri yandaslariniza veriyoruz. tum ihaleleri alanlar akp nin ya yonetim kurulu uyesi il genel meclisi uyesi veya ona ciddi bicimde destek veren insanlardan olusuyor. nerede han
cand_01738,,,11785,2004-05-04,2004,Dursun Akdemir,Anavatan Partisi,Doğru Yol Partisi,0,2,-0.6667,negative,gemizin genel sorunlariyla ilgili olarak soz almis bulunmaktayim sozlerime baslamadan once sahsim ve mensubu bulundugum dogru yol partisi adina yuce heyetinizi ve milletimizi saygiyla selamliyorum. dogu anadolu deyince yoksulluk akla gelir. dogu anadolu dey
cand_15299,,,9745,2003-06-01,2003,Muharrem İnce,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,celiskinin altini cizmek istiyorum. alt siralardaki bir onergeyi one cekmenin ancak bir tane mantigi olabilir. demek ki iktidar partisi grubumuz bu onergeyi onemli gormus kayda deger bulmus acil bulmus ancak bu gerekceyle bir onerge alt siralardan
cand_12055,,,19883,2007-04-04,2007,Agah Kafkas,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,3,0,0.75,positive,i tamir etmek adina onemli bir islevi yerine getirmeye calisiyor ve burada da hep beraber hayata gecirmeye calisiyoruz. ana muhalefet partimizin degerli milletvekilleri her ciktiginda bunu desteklediklerini soyluyorlar. keske destekliyor olsaydiniz. yan
cand_13261,,,8141,2002-12-01,2002,Dengir Mir Mehmet Fırat,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,1,0,0.5,positive,imizi da cok mutlu ediyor. umit ediyoruz ki iktidar partisi olarak adalet ve kalkinma partisi ve muhalefeti temsil eden cumhuriyet halk partisi bundan sonraki calismalarinda da hukukun temel ilkeleri icerisinde insan hak ve ozgurluklerine saygili olarak bunlari e
cand_13263,,,8141,2002-12-01,2002,Önder Sav,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,de konusunda yaptigi degerlendirmelere de katiliyoruz ancak bu madde vesilesiyle bir hususa deginmekte yarar goruyoruz. hukumet programi uzerinde yapilan gorusmelerden bu yana bizce ici bos yersiz amacindan saptirilan anayasa degisir-degismez yeni
cand_02887,,,13025,2004-12-01,2004,Ümmet Kandoğan,Doğru Yol Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,mek istiyorum ben genel olarak sunu soyledim onalti yildan beri bu vakiflarda baskanlik yapan birisi olarak... gecmiste ak parti yoktu. benim baskanlik yaptigim donemlerde dogru yol partisi vardi anap vardi refah partisi vardi ben genel olarak soyl
cand_13366,,,8245,2002-12-01,2002,Mustafa Özyürek,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,gili olarak cumhuriyet halk partisi grubu adina soz almis bulunuyorum hepinizi tekrar saygiyla selamliyorum. bu maddede akp adina konusan arkadasimizin da ozellikle belirttigi gibi 4 uncu maddenin bendinde onemli bir duzenleme yapilmaktadir. b
cand_11854,,,19868,2007-03-15,2007,Ümmet Kandoğan,Doğru Yol Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,konuda bilgi sahibi olmasi bakimindan yapilan islemlerdir. simdi anayasa nin ve ic tuzuk un vermis oldugu bir hakki bir iktidar milletvekilinin burada gelip meclis calismalarini engelleme olarak gormesi hem anayasa nin ruhuna aykiri hem de ic tuzu
cand_05716,,,15105,2005-10-11,2005,Halil Ünlütepe,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,is patatesin sorununa siyasi iktidarin bir bakisini da gostermektedir. baska bir deyisle ilimizdeki patates ureticileri adalet ve kalkinma partisi toplantisina feda edilmistir. bu bolgelerde de saha calismasi yapilsaydi daha saglikli bir rapor tanzim edilebilirdi di
cand_13325,,,8204,2002-12-01,2002,Hasan Aydın,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative, vatandas ne diyor bir saka da yapma hakkimiz var diye dusunerek bir davranis ortaya koydularsa sorun yok. muhalefet ve iktidar birlikteligi ulke menfaatlarinin endeksine ayarli olmak zorundadir. cumhuriyet halk partimizin -ben cumhuriyet halk par
cand_15027,,,9525,2003-05-01,2003,Resul Tosun,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,1,0,0.5,positive, arkadaslar ve grup cok hazirliksiz gelmis buraya. bu tasari uzerinde konusuluyor tartisiliyor. bakiniz 21 inci maddede chp bir onerge verdi biz grup olarak o onerge icin el kaldirdik destek verdik kabul ettik ama maddenin oylanmasinda kendi o
cand_13301,,,8203,2002-12-01,2002,Zeki Ergezen,Adalet ve Kalkınma Partisi,Anavatan Partisi,1,0,0.5,positive,kratik turkiye partisi 1 dogru yol partisi 56 fazilet partisi 61 hadep 4 mhp 53 toplam 337 belediye. ikinci kararnamede anap 32 bagimsizlar 2 cumhuriyet halk partisi 14 dp 1 dsp 5 dogru yol partisi 31 fazilet partisi 42 mhp 4 toplam 131. tutana
cand_09984,,,17505,2006-10-10,2006,Süleyman Sarıbaş,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,0,1,-0.5,negative,m- variz ama siz de olun siz de olun. hani meydan meydan bagiriyordunuz turkiye milletvekilligini getirecegiz diye. ben cumhuriyet halk partisi karsi cikiyor zannediyordum bugun sayin anadol la gorustum oyle bir oneri gelmedi bize dedi. yapamadiklarinizi yapmak i
cand_05287,,,14806,2005-06-22,2005,Ümmet Kandoğan,Doğru Yol Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,cegi ve bugune kadar hicbir avrupa birligi ulkesine dayatilmayan ongorulmeyen hususlarin o metnin icerisinde olmasi ama adalet ve kalkinma partisi 6 ekimdeki metnin sonunda dengeli ve olumlu bir rapordur diye hem sayin basbakan hem de disisleri bakani ifadede bulund
cand_00751,,,10765,2003-12-18,2003,Kemal Unakıtan,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,2,0,0.6667,positive,ve bunu ayni zamanda butun sivil toplum orgutlerine de yapiyoruz ve yapacagimiz isi toplumla paylasmak istiyoruz. sayin baykal da burada butce gorusmelerinin ne kadar onemli oldugunu ifade etti ve bundan dolayi da bu kadar onemli bir gorusmede ac
cand_12572,,,19916,2007-05-15,2007,Mustafa Elitaş,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,0,1,-0.5,negative,grubunun ozelikle kefaletten dolayi getirilen bu yasaya karsi ciktigini soyluyor. arkadaslar riyakarlik yapmasin kimse. cumhuriyet halk partisi grubu ozellikle bu tarim satis kooperatifleri ve tarim kredi kooperatiflerinin kefaletten dolayi borclarini bes yildir 
cand_05378,,,14845,2005-06-24,2005,Vezir Akdemir,Cumhuriyet Halk Partisi,Adalet ve Kalkınma Partisi,0,1,-0.5,negative,pras petkim turk hava yollari ve diger ozellestirme cabalarinda gordugumuz gibi ortada garip bir satis iliskisi vardir. hukumet turkiye nin en karli isletmelerini en ucuz fiyattan satmaya yani bir an once elinden cikarip uluslararasi baskilardan k
cand_10216,,,17665,2006-11-02,2006,Ömer Abuşoğlu,Adalet ve Kalkınma Partisi,Anavatan Partisi,4,0,0.8,positive,ekli. yeni birtakim kavramlarla da bu mevzuati desteklememiz zenginlestirmemiz gerekli. ama bu yonuyle baktigimiz zaman anavatan partisi olarak da destekledigimiz bir yonu var. ama bazi desteklemedigimiz hosumuza gitmeyen adeta midemizi bulandiran birtakim
cand_12726,,,19922,2007-05-23,2007,İbrahim Özdoğan,Anavatan Partisi,Adalet ve Kalkınma Partisi,3,1,0.4,positive,azarina giren yuz binlerce gence bir cozum olacak yeni is sahalari acamayacagini ortaya koymustur. degerli arkadaslarim hukumet yabanci yatirimciya is gucu akini saglamakla ugrasacagina ulkesinin vatandasinin is sorunuyla oncelikle ugrasmaliydi. h
cand_09058,,,17025,2006-06-06,2006,Süleyman Sarıbaş,Adalet ve Kalkınma Partisi,Cumhuriyet Halk Partisi,0,3,-0.75,negative,l sorunlari arastirmak ve bunlara care uretmektir daha dogrusu yurutmeye yon gostermektir dedik oylarinizla reddedildi. cumhuriyet halk partisi grubunun bir onerisi okundu. tarimin icinde bulundugu sorunlar yani ureticilerimizin ciftcilerimizin yasadiklari alin t
cand_02135,,,12125,2004-06-16,2004,Hüseyin Güler,Anavatan Partisi,Cumhuriyet Halk Partisi,0,1,-0.5,negative,unu temsil edemeyen hukumetin vekilleri olarak milletin cikarini ve degerlerini hice sayiyor hic dusunmeden bunlari biz chp liler olarak soyledigimiz icin reddediyorsunuz. butun bunlari bilerek tarih onunde vatanimiza halkimiza ve size de oy v
cand_06225,,,15505,2005-12-06,2005,İbrahim Özdoğan,Anavatan Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,ak savunmasinin ifadeleri var burada avukatin ifadeleri var. bakin buradan okumak istiyorum degerli arkadaslar basbakan recep tayyip erdogan in ulemaya sorulmasi gerektiginin... kucuk arkadaslar... faruk anbarcioglu - maddeyle ne ilgisi var
cand_08313,,,16485,2006-04-05,2006,Ümmet Kandoğan,Doğru Yol Partisi,Adalet ve Kalkınma Partisi,1,0,0.5,positive,e sasirdik. degerli milletvekilleri bakiniz bu kanun tasarisini ilk gunden itibaren destekledigimizi ifade ettik. sayin ak parti grup baskanvekili de bu kanun tasarisinin bir an once kanunlasmasi gerektigini sayin irfan gunduz de ifade ettiler ve b
