speech_id,transcript_id,date,year,month,speaker,party,concept_slug,concept,concept_category,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,beme_score,beme_label
term_24_speech_000000,20983,2011-07-04,2011,7,Kamer Genç,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000002,20985,2011-07-05,2011,7,Kamer Genç,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000003,20985,2011-07-05,2011,7,Kamer Genç,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,1,0,0,1.0,0.0,mixed
term_24_speech_000007,20985,2011-07-05,2011,7,Kamer Genç,Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,1,5,0,2.75,0.8333,positive
term_24_speech_000007,20985,2011-07-05,2011,7,Kamer Genç,Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,5,0,0,5.0,0.0,mixed
term_24_speech_000007,20985,2011-07-05,2011,7,Kamer Genç,Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,1,1,0,1.35,0.5,positive
term_24_speech_000008,20985,2011-07-05,2011,7,Vecdi Gönül,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,12,19,0,18.65,0.95,positive
term_24_speech_000008,20985,2011-07-05,2011,7,Vecdi Gönül,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,16,6,0,18.1,0.8571,positive
term_24_speech_000008,20985,2011-07-05,2011,7,Vecdi Gönül,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,4,1,0,4.35,0.5,positive
term_24_speech_000008,20985,2011-07-05,2011,7,Vecdi Gönül,Adalet ve Kalkınma Partisi,tutelage,Vesayet,constitutional_conflict,1,0,1,1.35,-0.5,negative
term_24_speech_000009,20985,2011-07-05,2011,7,Ali Rıza Alaboyun,Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,1,0,0,1.0,0.0,mixed
term_24_speech_000009,20985,2011-07-05,2011,7,Ali Rıza Alaboyun,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,5,6,0,7.1,0.8571,positive
term_24_speech_000009,20985,2011-07-05,2011,7,Ali Rıza Alaboyun,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,8,0,0,8.0,0.0,mixed
term_24_speech_000009,20985,2011-07-05,2011,7,Ali Rıza Alaboyun,Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,1,1,0,1.35,0.5,positive
term_24_speech_000010,20985,2011-07-05,2011,7,Lütfi Elvan,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,5,6,0,7.1,0.8571,positive
term_24_speech_000010,20985,2011-07-05,2011,7,Lütfi Elvan,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,17,24,2,26.1,0.8148,positive
term_24_speech_000010,20985,2011-07-05,2011,7,Lütfi Elvan,Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,3,8,1,6.15,0.7,positive
term_24_speech_000013,20991,2011-07-08,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,31,21,8,41.15,0.4333,positive
term_24_speech_000013,20991,2011-07-08,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,reform,Reform,democratic_reform,22,7,6,26.55,0.0714,mixed
term_24_speech_000013,20991,2011-07-08,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,european_union,Avrupa Birligi,democratic_reform,10,5,0,11.75,0.8333,positive
term_24_speech_000013,20991,2011-07-08,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,14,8,0,16.8,0.8889,positive
term_24_speech_000013,20991,2011-07-08,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,108,116,21,155.95,0.6884,positive
term_24_speech_000013,20991,2011-07-08,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,imf,IMF,macro_economy,2,1,2,3.05,-0.25,negative
term_24_speech_000013,20991,2011-07-08,2011,7,Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,inflation,Enflasyon,macro_economy,12,19,1,19.0,0.8571,positive
